all,quarter,industry_section_code,industry_section,industry_division,number_of_persons_engaged_total,number_of_persons_engaged_male,number_of_persons_engaged_female,number_of_vacancies,number_of_establishments
All,2000 Q3,N,Administrative and support services,"Travel agency, reservation service and related services",19581,8629,10952,460,2243
All,2000 Q3,N,Administrative and support services,Security and investigation services,33361,28532,4829,717,185
All,2000 Q3,N,Administrative and support services,Services to buildings and landscape care,40432,14317,26115,711,1119
All,2000 Q3,N,Administrative and support services,"Office administrative, office support and other business support services",18230,10298,7932,342,3782
All,2000 Q3,P,Education,Education,115048,43471,71577,909,3575
All,2000 Q3,Q,Human health and social work services,Human health services,67603,17815,49788,2217,4387
All,2000 Q3,Q,Human health and social work services,Residential care services,17613,2864,14749,559,927
All,2000 Q3,Q,Human health and social work services,Social work services,18332,3445,14887,150,1264
All,2000 Q3,R,"Arts, entertainment and recreation",Creative and performing arts activities,1941,1179,762,28,427
All,2000 Q3,R,"Arts, entertainment and recreation","Libraries, archives, museums and other cultural activities",368,129,239,9,59
All,2000 Q3,R,"Arts, entertainment and recreation",Amusement parks and theme parks,0,0,0,0,0
All,2000 Q3,R,"Arts, entertainment and recreation",Sports and other entertainment services,0,0,0,0,0
All,2000 Q3,S,Other services,Activities of membership organisations,9150,4100,5050,111,969
All,2000 Q3,S,Other services,"Repair of motor vehicles, motorcycles, computers, personal and household goods",17948,14839,3109,310,5130
All,2000 Q3,S,Other services,Other personal services,27157,12865,14292,660,6892
All,2000 Q4,C,Manufacturing,Manufacture of food products,18980,11663,7317,124,709
All,2000 Q4,C,Manufacturing,Manufacture of beverages,3050,2250,800,9,25
All,2000 Q4,C,Manufacturing,Manufacture of tobacco products,434,334,100,1,3
All,2000 Q4,C,Manufacturing,Manufacture of textiles,15477,9395,6082,58,1369
All,2000 Q4,C,Manufacturing,Manufacture of wearing apparel,48342,13451,34891,465,2661
All,2000 Q4,C,Manufacturing,"Manufacture of leather and related products; Manufacture of wood and of products of wood and cork, articles of straw and plaiting materials (except furniture and toys)",1212,759,453,7,324
All,2000 Q4,C,Manufacturing,Manufacture of paper and paper products,3688,2798,890,17,617
All,2000 Q4,C,Manufacturing,Printing and reproduction of recorded media,28405,20545,7860,129,4075
All,2000 Q4,C,Manufacturing,Manufacture of coke and refined petroleum products; Manufacture of chemicals and chemical products,2227,1607,620,15,235
All,2000 Q4,C,Manufacturing,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2698,1126,1572,2,217
All,2000 Q4,C,Manufacturing,"Manufacture of rubber and plastics products (except furniture, toys, sports goods and stationery)",6390,4315,2075,45,983
All,2000 Q4,C,Manufacturing,Manufacture of other non-metallic mineral products,2341,1941,400,3,320
All,2000 Q4,C,Manufacturing,Manufacture of basic metals,1237,1065,172,15,90
All,2000 Q4,C,Manufacturing,Manufacture of fabricated metal products (except machinery and equipment),9815,7470,2345,28,1978
All,2000 Q4,C,Manufacturing,"Manufacture of computer, electronic and optical products",23180,10626,12554,225,624
All,2000 Q4,C,Manufacturing,Manufacture of electrical equipment,4593,2596,1997,14,345
All,2000 Q4,C,Manufacturing,Manufacture of machinery and equipment n.e.c.,6514,4908,1606,19,1507
All,2000 Q4,C,Manufacturing,Body assembly of motor vehicles; Manufacture of other transport equipment,1640,1397,243,22,91
All,2000 Q4,C,Manufacturing,Manufacture of furniture,765,631,134,0,247
All,2000 Q4,C,Manufacturing,Other manufacturing,12777,8109,4668,134,2212
All,2000 Q4,C,Manufacturing,Repair and installation of machinery and equipment,14051,11447,2604,253,1647
All,2000 Q4,B,Mining and quarrying,Quarrying and other mining of non-metal ores,154,142,12,0,6
All,2000 Q4,D,Electricity and gas supply,Electricity and gas supply,8203,7075,1128,21,19
All,2000 Q4,E,"Sewerage, waste management and remediation services",Sewerage,463,161,302,8,37
All,2000 Q4,E,"Sewerage, waste management and remediation services","Waste collection, treatment and disposal; materials recovery",2016,1029,987,1,208
All,2000 Q4,E,"Sewerage, waste management and remediation services",Remediation and other waste management services,93,27,66,0,13
All,2000 Q4,F,Construction,Construction sites (manual workers only),83924,78898,5026,177,978
All,2000 Q4,F,Construction,Public sector sites,44355,41944,2411,120,418
All,2000 Q4,F,Construction,Public sector building sites,24386,22560,1826,88,198
All,2000 Q4,F,Construction,Public sector civil engineering sites,19969,19384,585,32,220
All,2000 Q4,F,Construction,Private sector sites,39569,36954,2615,57,560
All,2000 Q4,F,Construction,Private sector building sites,37290,34759,2531,57,487
All,2000 Q4,F,Construction,Private sector civil engineering sites,2279,2195,84,0,73
All,2000 Q4,G,"Import/export, wholesale and retail trades",Import and export trade,508814,278037,230777,5098,101588
All,2000 Q4,G,"Import/export, wholesale and retail trades",Wholesale,67246,43681,23565,537,14862
All,2000 Q4,G,"Import/export, wholesale and retail trades",Retail trade,212666,97165,115501,2433,55522
All,2000 Q4,H,"Transportation, storage, postal and courier services",Land transport,43693,38036,5657,222,2690
All,2000 Q4,H,"Transportation, storage, postal and courier services",Water transport,9150,5834,3316,117,366
All,2000 Q4,H,"Transportation, storage, postal and courier services",Air transport,15629,6029,9600,104,109
All,2000 Q4,H,"Transportation, storage, postal and courier services",Warehousing and support services for transportation,51484,34511,16973,341,3908
All,2000 Q4,H,"Transportation, storage, postal and courier services",Postal and courier services,9684,6055,3629,119,566
